ProfID,ProfName,ProfTitle,Office,DeptID,SupProfID
PF0001,Benjamin Roberts,Professor,AS1-1-01,DP01,PF0001
PF0002,Lucy Martin,Professor,AS1-1-02,DP01,PF0001
PF0003,Logan Turner,Associate Professor,AS1-1-03,DP01,PF0001
PF0004,Nathan Taylor,Associate Professor,AS1-1-04,DP01,PF0001
PF0005,Hailey Adams,Associate Professor,AS1-1-05,DP01,PF0001
PF0006,Noah Patel,Assistant Professor,AS1-1-06,DP01,PF0001
PF0007,Gabriel Edwards,Assistant Professor,AS1-1-07,DP01,PF0001
PF0008,Jacob Young,Assistant Professor,AS1-1-08,DP01,PF0001
PF0009,Elijah Wilson,Assistant Professor,AS1-1-09,DP01,PF0001
PF0010,Lily Phillips,Visiting Professor,AS1-1-10,DP01,PF0001
PF0011,Riley Roberts,Professor,AS1-02-01,DP02,PF0001
PF0012,Elizabeth Roberts,Professor,AS1-02-02,DP02,PF0001
PF0013,Connor Thompson,Associate Professor,AS1-02-03,DP02,PF0001
PF0014,Elijah Turner,Associate Professor,AS1-02-04,DP02,PF0001
PF0015,Kaylee Evans,Associate Professor,AS1-02-05,DP02,PF0001
PF0016,Grayson Roberts,Assistant Professor,AS1-02-06,DP02,PF0001
PF0017,Dylan Scott,Assistant Professor,AS1-02-07,DP02,PF0001
PF0018,Layla Phillips,Assistant Professor,AS1-02-08,DP02,PF0001
PF0019,Elizabeth Young,Assistant Professor,AS1-02-09,DP02,PF0001
PF0020,Grace Carter,Visiting Professor,AS1-02-10,DP02,PF0001
PF0021,Brooklyn Wilson,Professor,AS1-03-01,DP03,PF0001
PF0022,Anna Mitchell,Professor,AS1-03-02,DP03,PF0001
PF0023,Audrey White,Associate Professor,AS1-03-03,DP03,PF0001
PF0024,Hailey Roberts,Associate Professor,AS1-03-04,DP03,PF0001
PF0025,Makayla Morris,Associate Professor,AS1-03-05,DP03,PF0001
PF0026,Sarah Ward,Assistant Professor,AS1-03-06,DP03,PF0001
PF0027,Jacob James,Assistant Professor,AS1-03-07,DP03,PF0001
PF0028,Chloe Adams,Assistant Professor,AS1-03-08,DP03,PF0001
PF0029,Elijah Clark,Assistant Professor,AS1-03-09,DP03,PF0001
PF0030,Eli Walker,Visiting Professor,AS1-03-10,DP03,PF0001
PF0031,Jackson Harris,Professor,AS1-04-01,DP04,PF0001
PF0032,Lillian King,Professor,AS1-04-02,DP04,PF0001
PF0033,Owen Adams,Associate Professor,AS1-04-03,DP04,PF0001
PF0034,Isabella Evans,Associate Professor,AS1-04-04,DP04,PF0001
PF0035,Tyler Patel,Associate Professor,AS1-04-05,DP04,PF0001
PF0036,Lily Hughes,Assistant Professor,AS1-04-06,DP04,PF0001
PF0037,Aaliyah Brown,Assistant Professor,AS1-04-07,DP04,PF0001
PF0038,Lillian Evans,Assistant Professor,AS1-04-08,DP04,PF0001
PF0039,Ella Smith,Assistant Professor,AS1-04-09,DP04,PF0001
PF0040,Wyatt Edwards,Visiting Professor,AS1-04-10,DP04,PF0001
